songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Michael,The Highwaymen,1961,60,3,0,0.859,0.525,0.121,0.00000598,0.191,-19.451,0.029,107.408,0.631
Crying,Roy Orbison,1961,60,4,0,0.758,0.35,0.293,0.00000821,0.104,-9.502,0.0258,96.685,0.162
Runaway,Del Shannon,1961,60,5,0,0.153,0.594,0.533,0.0000149,0.172,-7.993,0.0438,78.552,0.729
My True Story,The Jive Five,1961,60,6,0,0.805,0.225,0.473,0,0.261,-7.479,0.0326,182.268,0.64
Pony Time,Chubby Checker,1961,60,7,0,0.00868,0.453,0.609,0.0000343,0.0797,-6.662,0.0296,77.36,0.96
Wheels,The String-A-Longs,1961,60,8,0,0.681,0.786,0.615,0.126,0.136,-8.213,0.0359,128.466,0.884
Raindrops,Dee Clark,1961,60,9,0,0.452,0.381,0.719,0,0.689,-7.613,0.0494,114.086,0.563
Wooden Heart,Joe Dowell,1961,60,10,0,0.713,0.844,0.462,0.0234,0.106,-9.855,0.0525,84.913,0.947
Calcutta,Lawrence Welk,1961,60,11,0,0.836,0.481,0.7,0.892,0.283,-6.85,0.0287,81.763,0.94
Take Good Care of My Baby,Bobby Vee,1961,60,12,0,0.761,0.487,0.441,0,0.15,-11.297,0.0722,82.707,0.604
Running Scared,Roy Orbison,1961,60,13,0,0.778,0.572,0.392,0.000435,0.15,-10.555,0.0325,128.255,0.381
Dedicated to the One I Love,The Shirelles,1961,60,14,0,0.8,0.462,0.191,0,0.164,-11.901,0.0339,80.536,0.537
Last Night,The Mar-Keys,1961,60,15,0,0.448,0.723,0.565,0.866,0.0708,-4.175,0.0386,126.588,0.859
Will You Love Me Tomorrow,The Shirelles,1961,60,16,0,0.551,0.527,0.308,0.0000425,0.0921,-11.809,0.0284,136.297,0.514
Exodus,Ferrante & Teicher,1961,60,17,0,0.991,0.417,0.222,0.858,0.181,-15.318,0.0344,91.846,0.147
Where the Boys Are,Connie Francis,1961,60,18,0,0.81,0.366,0.408,0,0.328,-4.85,0.0301,108.819,0.378
Hit the Road Jack,Ray Charles,1961,60,19,0,0.704,0.598,0.571,0,0.513,-12.616,0.139,173.141,0.962
Sad Movies (Make Me Cry),Sue Thompson,1961,60,20,0,0.888,0.61,0.272,0.00000711,0.245,-10.071,0.0286,107.116,0.608
Mother-in-Law,Ernie K-Doe,1961,60,21,0,0.784,0.811,0.528,0.0000158,0.141,-9.721,0.0332,130.191,0.942
Bristol Stomp,The Dovells,1961,60,22,0,0.626,0.655,0.77,0,0.541,-6.338,0.0649,105.394,0.9
Travelin' Man,Ricky Nelson,1961,60,23,0,0.667,0.723,0.44,0,0.128,-10.536,0.0319,123.217,0.843
Shop Around,The Miracles,1961,60,24,0,0.809,0.552,0.7,0,0.805,-4.533,0.0295,132.005,0.901
The Boll Weevil Song,Brook Benton,1961,60,25,0,0.248,0.716,0.34,0.00000289,0.309,-17.01,0.0585,133.337,0.661
A Hundred Pounds of Clay,Gene McDaniels,1961,60,26,0,0.604,0.684,0.389,0,0.369,-10.933,0.035,129.06,0.824
The Mountain's High,Dick and Dee Dee,1961,60,27,0,0.683,0.686,0.771,0.137,0.333,-8.764,0.0594,118.176,0.94
Don't Worry,Marty Robbins,1961,60,28,0,0.879,0.648,0.165,0.000216,0.13,-16.446,0.0348,99.585,0.435
On the Rebound,Floyd Cramer,1961,60,29,0,0.371,0.535,0.683,0.0133,0.205,-11.677,0.0334,150.742,0.912
Portrait of My Love,Steve Lawrence,1961,60,30,0,0.85,0.31,0.312,0.0000451,0.325,-9.321,0.0269,90.169,0.256
Quarter to Three,Gary U.S. Bonds,1961,60,31,0,0.929,0.473,0.824,0.0547,0.866,-9.325,0.178,165.457,0.923
"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,1961,60,32,0,0.289,0.382,0.716,0.00000175,0.0938,-6.668,0.0549,172.501,0.789
Calendar Girl,Neil Sedaka,1961,60,33,0,0.397,0.703,0.649,0,0.209,-7.727,0.0312,122.719,0.862
I Like It Like That,Chris Kenner,1961,60,34,0,0.884,0.577,0.544,0,0.22,-12.315,0.0742,143.914,0.813
Apache,Jørgen Ingmann,1961,60,35,0,0.894,0.644,0.492,0.922,0.117,-13.646,0.0468,129.089,0.248
Don't Bet Money Honey,Linda Scott,1961,60,36,0,0.288,0.74,0.183,0.834,0.0959,-12.344,0.0392,100.355,0.608
Without You,Johnny Tillotson,1961,60,37,0,0.425,0.537,0.558,0.636,0.119,-5.701,0.0263,99.333,0.709
Wings of a Dove,Ferlin Husky,1961,60,38,0,0.54,0.498,0.555,0,0.26,-11.577,0.0468,184.891,0.888
Little Sister,Elvis Presley,1961,60,39,0,0.434,0.602,0.619,0,0.364,-11.751,0.0768,139.6,0.902
Blue Moon,The Marcels,1961,60,40,0,0.698,0.617,0.444,0,0.0999,-10.133,0.0371,127.699,0.913
Daddy's Home,Shep and the Limelites,1961,60,41,0,0.939,0.493,0.123,0.00000858,0.146,-13.875,0.0366,144.64,0.273
This Time,Troy Shondell,1961,60,42,0,0.712,0.453,0.299,0,0.287,-14.331,0.0299,81.169,0.341
(I Don't Know Why) But I Do,Clarence Frogman Henry,1961,60,43,0,0.563,0.662,0.535,0,0.125,-5.457,0.027,109.695,0.83
